id	title	description	link	image_link	price	condition	availability	brand
10	"Мазь RockSauce"	"RockSause является первым обезболивающим кремом, предназначенным для использования с RockTape и без него. При нанесении непосредственно на поверхность кожи, Rock Sause впитывается и обеспечивает охлаждение и тепло одновременно до 1 часа."	https://rocktape.ua/rock-sause	https://rocktape.ua/image/cache/data/480358206-300x300.png	"520 UAH"	new	"in stock"	"RockTape (США)"
66	"Наколенники Assassins"	"Наколенники RockTape Assassins будут поддерживать, и охранять ваши колени от повреждений. Оказывают всестороннюю поддержку в ходе изнурительных тренировок. Могут быть использованы в различных спортивных и фитнес - занятиях: CrossFit (КроссФит), тяжелая ат"	https://rocktape.ua/assassins	https://rocktape.ua/image/cache/data/product/assassins_red_camo-300x300.jpg	"1395 UAH"	new	"in stock"	"RockTape (США)"
58	"Перчатки Talons"	"TALONS  - новое поколение перчаток от RockTape. Теперь Ваши руки защищены еще более надежно."	https://rocktape.ua/talons	https://rocktape.ua/image/cache/data/product/talons_main-300x300.jpg	"945 UAH"	new	"in stock"	"RockTape (США)"
1	"Kинезио тейп Classic (5см х 5м)"	"Кинезио тейпы фирмы RockTape Classic разработаны специалистами в США (Калифорния). Тейп состоит на 97% из хлопка и на 3% из нейлона, имеет стойкую гипоаллергенную клеевую основу и повышенную эластичность - 180-190%."	https://rocktape.ua/kinesio-tape-classic	https://rocktape.ua/image/cache/data/product/5x5_small_navy_blue-300x300.jpg	"420 UAH"	new	"in stock"	"RockTape (США)"
56	"Женская футболка RockSauce"	"Женская футболка производства американсокй компании Next Level с логотипом RockSauce создана специально для кроссфита и других интенсивных занятий. Если вы любите спорт, хотите достичь отличных результатов и всегда выглядеть отлично – эта футболка для вас"	https://rocktape.ua/womens-rocktsauce-tee	https://rocktape.ua/image/cache/data/product/Rock_Sauce_wom_tshirt-300x300.jpg	"490 UAH"	new	"in stock"	"RockTape (США)"
78	"Защита локтей Assassins Elbow"	"Защита локтей Assassins Elbow станет надежной защитой при выполнении интервальных тренировок высокой интенсивности, на гонке с препятствиями, велоезде, функциональный тренинг, гиревой спорт – список бесконечен."	https://rocktape.ua/assassins-elbow	https://rocktape.ua/image/cache/data/локти-300x300.png	"995 UAH"	new	"in stock"	"RockTape (США)"
57	"Кистевые бинты RockWrist "	"Защита для кистей RockWrist от компании RockTape уже давно завоевала свою популярность среди известных кроссфитеров. Защита для кисти идеально подойдет при: фронтальных приседаниях, жимах, швунгах, толчках, трастерах, работой с гирями и на турнике."	https://rocktape.ua/rockwrist	https://rocktape.ua/image/cache/data/product/rockwrist_main-300x300.jpg	"595 UAH"	new	"in stock"	"RockTape (США)"
79	"Лента RockBand Flex"	"RockBand Flex – многофункциональная лента с системой петель для реабилитации, снятия ограничений мобильности и качественной растяжки."	https://rocktape.ua/rockband-flex	https://rocktape.ua/image/cache/data/897847778-300x300.png	"550 UAH"	new	"in stock"	"RockTape (США)"
60	"Мазь RockSauce Chill"	"Rocktape Rock Sauce Chill быcтро снимет незначительный мышечный дискомфорт, благодаря 6% ментолу и другим активным ингредиентам, которые обеспечат мощный поток прохлады."	https://rocktape.ua/rock-sause-chill	https://rocktape.ua/image/cache/data/480348355-300x300.png	"440 UAH"	new	"in stock"	"RockTape (США)"
62	"Массажные мячи RockBalls"	"Массажные мячи RockTape RockBalls высокоточно и эффективно расслабят ваши мышцы. Они продаются в паре, где один большой мяч с шипами, а другой гладкий шар."	https://rocktape.ua/rockballs	https://rocktape.ua/image/cache/data/product/rock-balls-main-300x300.jpg	"545 UAH"	new	"in stock"	"RockTape (США)"
80	"Массажные мячи RockBalls Infinity"	"В RockBalls Infinity эргономично соединились 2 мяча в форме восьмерки, или знака бесконечности. Такая конструкция идеально подойдет для снятия боли в мышцах и суставах сразу в двух направлениях."	https://rocktape.ua/rockballs-infinity	https://rocktape.ua/image/cache/data/897534982-300x300.png	"545 UAH"	new	"in stock"	"RockTape (США)"
72	"Массажный ролик RockNRoller HD"	"Массажный ролик RocknRoller HD 45 обеспечивает глубокую проработку мышц и фасций. Тренируясь с массажным роликом RocknRoller HD 45, вы расслабите даже самые мелкие мышцы вашего организма."	https://rocktape.ua/rocknroller-hd	https://rocktape.ua/image/cache/data/543899173-300x300.png	"780 UAH"	new	"in stock"	"RockTape (США)"
51	"Массажный цилиндр RockNRoller"	"Массажный роллер RocknRoller от компании RockTape – это еще одна совместная разработка спортивных врачей и реабилитологов. Массажный роллер имеет специальную конструкцию, каждая деталь которой выполняет свою функцию."	https://rocktape.ua/rocknroller	https://rocktape.ua/image/cache/data/product/RocknRoller_main-300x300.jpg	"1250 UAH"	new	"in stock"	"RockTape (США)"
54	"Мужская футболка RockSauce"	"Мужская футболка от компании Next Level с логотипом RockSauce для кроссфита – это способ сделать тренировки эффективнее и повысить собственную мотивацию."	https://rocktape.ua/mens-rocktsauce-tee	https://rocktape.ua/image/cache/data/product/Rock_Sauce_man_tshirt-300x300.jpg	"490 UAH"	new	"in stock"	"RockTape (США)"
53	"Мужская футболка RockTape logo"	"Мужская футболка американского производителя Next Level с логотипом RockTape для кроссфита – выбор тех, кто не хочет выбирать, предпочитая получать все и сразу."	https://rocktape.ua/mens-rocktape-logo-tee	https://rocktape.ua/image/cache/data/product/Rock_Tape_man_tshirt-300x300.jpg	"470 UAH"	new	"in stock"	"RockTape (США)"
76	"Набор инструментов для техники ИММТ RockBlades Mohawk"	"RockBlades Mohawk - комплексная система мобилизации мышечных тканей при помощи вспомогательных инструментов (IASTM). 
Добро пожаловать в IASTM-будущее."	https://rocktape.ua/rockblades-mohawk	https://rocktape.ua/image/cache/data/mohawk-float-1-2-300x300.png	"5800 UAH"	new	"in stock"	"RockTape (США)"
77	"Наколенники Assassins CrossFit"	"Наколенники RockTape Assassins будут поддерживать и беречь ваши колени от повреждений. Оказывают всестороннюю поддержку в ходе изнурительных тренировок. Могут быть использованы в различных спортивных и фитнес - занятиях: CrossFit (КроссФит), тяжелая атлет"	https://rocktape.ua/assassins-crossfit	https://rocktape.ua/image/cache/data/cf-300x300.png	"1495 UAH"	new	"in stock"	"RockTape (США)"
70	"Ножницы для кинезио тейпов Rock Blades"	"Изготовленные из высококачественной стали, они остаются острыми как бритва многие года, а ксилановое покрытие не позволяет клеящему слою тейпа прилипать к лезвию, обеспечивая простоту и точность в использовании. Эргономичная ручка и изогнутая форма лезвия"	https://rocktape.ua/rocktape-scissors	https://rocktape.ua/image/cache/data/other/rk-300x300.jpg	"985 UAH"	new	"out of stock"	"RockTape (США)"
61	"Резиновая петля RockBand"	"Резиновая петля RockBand - это взятие новых рубежей на ваших тренировках! Резиновые петли используются для тренировки силы, улучшения подвижности и снижения болевой симптоматики."	https://rocktape.ua/rockband	https://rocktape.ua/image/cache/data/product/All_Rock_Bands-300x300.jpg	"600 UAH"	new	"in stock"	"RockTape (США)"
81	"Силиконовые банки RockPods"	"Набор для работы с мягкими тканями (cupping) состоит из 8 силиконовых баночек (4 больших и 4 малых). Этот инструментарий позволит вам захватывать, сдвигать и сдавливать фасцию, помогая устранять болевые ощущения и двигательные дисфункции."	https://rocktape.ua/rock-pods	https://rocktape.ua/image/cache/data/889941126-300x300.png	"1200 UAH"	new	"in stock"	"RockTape (США)"
63	"Эластичная лента RockBandRx"	"Эластичные ленты являются идеальным помощником в реабилитации, развитии подвижности и улучшении атлетических способностей, обеспечивая сбалансированные функциональные нагрузки при работе с сопротивлением."	https://rocktape.ua/rockbandrx	https://rocktape.ua/image/cache/data/product/RockBandRx_main-300x300.jpg	"200 UAH"	new	"in stock"	"RockTape (США)"
73	"Эластичная лента RockFloss"	"RockFloss - это новый инструмент для улучшения мобильности. Представляет собой эластичную ленту из латекса, которая легко помещается в любую спортивную сумку или рюкзак. Она проста и удобна в применении, и доступна в двух вариантах ширины – 5 см или 10 см"	https://rocktape.ua/rockfloss	https://rocktape.ua/image/cache/data/флос%205см%202-300x300.png	"480 UAH"	new	"in stock"	"RockTape (США)"
55	"Женская футболка RockTape logo"	"Женская футболка американской текстильной компании Next Level с логотипом RockTape для кроссфита – оптимальное решение для грациозных и спортивных девушек."	https://rocktape.ua/womens-rocktape-logo-tee	https://rocktape.ua/image/cache/data/product/Rock_Tape_wom_tshirt-300x300.jpg	"470 UAH"	new	"in stock"	"RockTape (США)"
12	"Защита голени RockGuards"	"Защита голени RockGuards станет надежной защитой при выполнении становой тяги, толчок штанги, рывок штанги, защитит Вас при лазании по канату и при выполнении других упражнений, способных повредить Ваши голени."	https://rocktape.ua/rock-guards	https://rocktape.ua/image/cache/data/product/rockguard_main_new-300x300.jpg	"945 UAH"	new	"in stock"	"RockTape (США)"
